rho,n_features,n_samples,noise,seed,cond,mean_cv,median_cv,max_cv,n_active,coef_err,spurious,missed
0.0,6,100,0.01,1,1.411654960642138,0.029374224171079027,0.029374224171079027,0.03840739851014255,2,0.000819990335727481,0,0
0.0,6,100,0.01,2,1.3220467073229334,0.036280234446411146,0.036280234446411146,0.055595032732355304,2,0.0019544920820094387,0,0
0.0,6,100,0.01,3,1.502349415830757,0.08085077401951593,0.08085077401951593,0.14123033973833876,2,0.00010893132608590045,0,0
0.0,6,100,0.01,4,1.5449787422577526,0.06358783468637418,0.06358783468637418,0.09594782969738466,2,0.0012763105692664915,0,0
0.0,6,100,0.01,5,1.5699805699530656,0.1238731736660057,0.1238731736660057,0.19103171544835126,2,0.001670785676253935,0,0
0.0,6,100,0.01,6,1.689928500939917,0.08357309308741313,0.08357309308741313,0.13555827682840121,2,0.0009739724214884013,0,0
0.0,6,100,0.01,7,1.5130531106391716,0.055340555504637345,0.055340555504637345,0.08825521092463076,2,0.00028185634404851427,0,0
0.99,6,100,0.01,0,15.017650320166439,0.13923628225751217,0.13923628225751217,0.2702728899696192,2,0.0014673024827456917,0,0
0.99,6,100,0.01,1,12.277327056725825,0.07794363522893834,0.07794363522893834,0.14751659353769048,2,0.0020855494743996076,0,0
0.99,6,100,0.01,2,14.097991904882091,0.12409695110655371,0.12409695110655371,0.23158479220673117,2,0.0021008869812716947,0,0
0.99,6,100,0.01,3,14.712523960548904,0.0750011351592323,0.0750011351592323,0.13736179627996117,2,0.0001615405716455028,0,0
0.99,6,100,0.01,4,15.10484855171392,1.2711940119984393,0.25887625282998755,3.5218906152659106,3,0.003911636415743837,1,0
0.99,6,100,0.01,5,13.545685726390994,0.21968304244727715,0.21968304244727715,0.4247981698777114,2,0.0019226043726411788,0,0
0.99,6,100,0.01,6,18.460630674107627,0.15863867420894243,0.15863867420894243,0.2989281810622469,2,0.0008556002071486437,0,0
0.99,6,100,0.01,7,13.726120172311107,0.0902776687833093,0.0902776687833093,0.1692088485092213,2,0.0003925114972854713,0,0
0.999,6,100,0.01,0,47.66397403499577,0.40658123573764754,0.40658123573764754,0.8104350820950581,2,0.0019108349032780207,0,0
0.999,6,100,0.01,1,38.858211100782185,1.4108324731295137,0.42504758241834223,3.8042945712987897,3,0.011820518368212204,1,0
0.999,6,100,0.01,2,44.615802491024944,37.15814346299473,0.6487865648969025,110.82039835017315,3,0.011903080399095144,1,0
0.999,6,100,0.01,3,47.331537881941415,7.225719505941981,0.3845785107591893,21.289639596761628,3,0.011558288437124777,1,0
0.999,6,100,0.01,4,47.70929060227443,3.4930576327361167,0.6023411819737449,9.866121249202354,3,0.01885920962051588,1,0
0.999,6,100,0.01,5,43.0217452987595,1.132324253888163,1.1274214568742955,2.2650422274294884,3,0.01570912927985043,1,0
0.999,6,100,0.01,6,57.9977726488791,0.35995461624681496,0.35995461624681496,0.7143805895529315,2,0.0007924224875666739,0,0
0.999,6,100,0.01,7,43.57892255864404,0.29003950188372735,0.29003950188372735,0.5757379686184995,2,7.688722016934818e-05,0,0
0.9999,6,100,0.01,0,150.85007595408788,5.970640725524144,2.1058671241033067,15.804819350357109,3,0.020438989587323046,1,0
0.9999,6,100,0.01,1,122.90554534478002,1.0803605938520426,0.9367355678776376,2.3023330834112654,3,0.0382169313059128,1,0
0.9999,6,100,0.01,2,141.07145255847573,2.8812632081142593,1.5547263302016334,7.087349699762097,3,0.03489239033018127,1,0
0.9999,6,100,0.01,3,150.43486695180516,1.7301872529738753,0.9560903997050461,4.233170681638001,3,0.03737029545069639,1,0
0.9999,6,100,0.01,4,150.76491848329508,1.3142439672190835,1.1134908710712978,2.8250032736511335,3,0.061063960673520684,1,0
0.9999,6,100,0.01,5,136.20774794434837,1.9077628820335315,1.4523365842382807,4.268932966045251,3,0.048733719665258135,1,0
0.9999,6,100,0.01,6,182.90788153756156,0.6671954731670994,0.6671954731670994,1.3323753677547583,2,0.0010042120611292431,0,0
0.9999,6,100,0.01,7,137.93470878492602,1.6300289650655795,2.12102422515825,2.767453488652058,3,0.007714669064377809,1,0
0.99999,6,100,0.01,0,477.137012869553,4.630432783180763,4.230688696064445,9.659660010771251,3,0.06298176964485876,1,0
0.99999,6,100,0.01,1,388.6837152630409,1.1663953467871078,1.4889667293743565,2.008517020049747,3,0.12184983189468661,1,0
0.99999,6,100,0.01,2,446.0752198255865,2.704359098310786,2.803183005608367,5.308589610350326,3,0.10783659063630421,1,0
0.99999,6,100,0.01,3,476.46023458917057,1.6831514004332486,1.7891794980053932,3.259089503786917,3,0.11900358750597269,1,0
0.99999,6,100,0.01,4,476.6400312428121,1.2565262044798045,1.5397988794007835,2.227538523411973,3,0.19455661889572867,1,0
0.99999,6,100,0.01,5,430.879155762749,1.2902766519819135,1.675049280134294,2.1940060262486396,3,0.15325168053482585,1,0
0.99999,6,100,0.01,6,577.8720947391103,0.9234515764910661,0.9234515764910661,1.845615458819865,2,0.0010042120611296888,0,0
0.99999,6,100,0.01,7,436.29883443706575,5.203123460915437,2.9866356918256978,12.621457447294159,3,0.02477895428855924,1,0
0.999999,6,100,0.01,0,1508.9417773458622,4.86400958082535,6.225926283785731,8.365208714409492,3,0.07340305155428407,1,0
0.999999,6,100,0.01,1,1229.1471800911384,1.2771047421621216,1.8259772888072274,2.003707823822476,3,0.3863387694629498,1,0
0.999999,6,100,0.01,2,1410.5768353071805,2.8894821087480618,3.7658767870936196,4.9012406415645495,3,0.3388809779794984,1,0
0.999999,6,100,0.01,3,1507.4378047844664,1.876141318257785,2.5668107717462476,3.0603721274579403,3,0.37715282259470556,1,0
0.999999,6,100,0.01,4,1507.1427519074732,1.280246900159278,1.7546420006779546,2.0843598895247264,3,0.6167061933252678,1,0
0.999999,6,100,0.01,5,1362.7091921197193,1.209134579544355,1.7162903445748146,1.909405607482041,3,0.4837783465190154,1,0
0.999999,6,100,0.01,6,1826.8472380493545,1.0526813426593558,1.0526813426593558,2.104209208992237,2,0.0010042120611290812,0,0
0.999999,6,100,0.01,7,1379.8042584537343,2.678266904014325,3.4698463011548606,4.563727489189568,3,0.07874535661731658,1,0
0.0,6,250,0.01,0,1.2034278064254713,0.02966319068157173,0.02966319068157173,0.03802393466675422,2,0.0009020419678461893,0,0
0.0,6,250,0.01,1,1.198010371525462,0.043653104797689884,0.043653104797689884,0.06755495513770315,2,0.0005358462708777691,0,0
0.0,6,250,0.01,2,1.2039872594176784,0.040494137757760194,0.040494137757760194,0.07782374220954669,2,0.00048587632665725056,0,0
0.0,6,250,0.01,3,1.234021521419961,0.016946293890752473,0.016946293890752473,0.01766630307322418,2,0.00011496329943709468,0,0
0.0,6,250,0.01,4,1.2923384174909767,0.014125370991907943,0.014125370991907943,0.0193696688924008,2,0.0004653836943781939,0,0
0.0,6,250,0.01,5,1.3229081399247737,0.07252150743958495,0.07252150743958495,0.11954649144885816,2,0.028841571652757803,0,0
0.0,6,250,0.01,6,1.2535289646566357,0.02417581158709843,0.02417581158709843,0.028442484663240265,2,0.0009931741150658803,0,0
0.0,6,250,0.01,7,1.2262384219057114,0.011113203978294123,0.011113203978294123,0.02168145506796386,2,0.00028089614989864427,0,0
0.99,6,250,0.01,0,13.354575579952234,0.0742660441785325,0.0742660441785325,0.14320563700841052,2,0.0008983714120835265,0,0
0.99,6,250,0.01,1,13.55685841301709,0.05624464148320933,0.05624464148320933,0.10262253915963947,2,0.0002846168888653646,0,0
0.99,6,250,0.01,2,15.096358607475425,0.04965843748661756,0.04965843748661756,0.08644241991730847,2,0.000418127581939541,0,0
0.99,6,250,0.01,3,13.109441172798935,0.0562478230399037,0.0562478230399037,0.10100157618726277,2,7.623687343623516e-05,0,0
0.99,6,250,0.01,4,16.27421372367797,0.06468717709782637,0.06468717709782637,0.12325632770634082,2,0.0008748961405807023,0,0
0.99,6,250,0.01,5,14.349767488674921,0.08475282911888837,0.08475282911888837,0.15906480675843193,2,0.0005163786839353639,0,0
0.99,6,250,0.01,6,13.995452817393058,0.09118650366904758,0.09118650366904758,0.1718915814979642,2,0.001142590263836634,0,0
0.99,6,250,0.01,7,13.424480423919677,0.08672120487691277,0.08672120487691277,0.1728626858133273,2,0.00028906168037113944,0,0
0.999,6,250,0.01,0,42.28156024117632,0.21204908162299496,0.21204908162299496,0.4221481149962729,2,0.001093844867008544,0,0
0.999,6,250,0.01,1,43.19273244777512,1.134967613613908,0.31701599407464265,3.0851180345049216,3,0.004351423757238188,1,0
0.999,6,250,0.01,2,47.99261050247944,0.129650408001435,0.129650408001435,0.2553503981937823,2,0.00039266092250127884,0,0
0.999,6,250,0.01,3,41.57475392970251,1.5482095420690858,0.29775299631160806,4.343153766911589,3,0.005726746065191947,1,0
0.999,6,250,0.01,4,51.46352168707453,0.9150559392682899,0.46102188057806964,2.2822905798761246,3,0.00719418650284299,1,0
0.999,6,250,0.01,5,45.842425790567574,0.6878972685557434,0.46298823752504414,1.597500249151091,3,0.0031763995120752645,1,0
0.999,6,250,0.01,6,44.07293461712614,0.9035430749710424,0.6794247491638883,2.027738741332316,3,0.010626498034262914,1,0
0.999,6,250,0.01,7,42.64848844273375,0.2539797532813858,0.2539797532813858,0.5073687713682107,2,0.00030825901405843705,0,0
0.9999,6,250,0.01,0,133.71308542942998,4.347621617318176,1.256938429479511,11.784963342406208,3,0.009528995142695776,1,0
0.9999,6,250,0.01,1,136.85971309040997,78.84627679713577,0.8472106950732564,235.69069380526204,3,0.019267191562136153,1,0
0.9999,6,250,0.01,2,151.93262243862094,0.3521240665106444,0.3521240665106444,0.7028351209977753,2,0.0005415399540964778,0,0
0.9999,6,250,0.01,3,131.55359875384627,18.297528049019718,0.8310632293645275,54.06038167990583,3,0.01777891457469498,1,0
0.9999,6,250,0.01,4,162.62660932098004,1.7704579119590267,1.8713879105942626,3.4391803247738433,3,0.021936631520869446,1,0
0.9999,6,250,0.01,5,145.36147645133417,1.6972599399585802,1.4478284486789785,3.6425684530113407,3,0.0146818708280704,1,0
0.9999,6,250,0.01,6,139.133363553533,2.46612771917015,2.420616757842701,4.976325581635371,3,0.035056243797378005,1,0
0.9999,6,250,0.01,7,135.01795758475114,0.6185583843316744,0.6185583843316744,1.2365260334687882,2,0.00030825901405843705,0,0
0.99999,6,250,0.01,0,422.8312045162236,65.79402515750093,3.501474102576456,193.87980666846786,3,0.02923890037637392,1,0
0.99999,6,250,0.01,1,433.0446632324577,2.5730788764189874,1.7582608209755,5.960272438025032,3,0.06143798357592731,1,0
0.99999,6,250,0.01,2,480.5920797428011,0.7977353440792425,0.7977353440792425,1.5945435273026654,2,0.0006619026620953167,0,0
0.99999,6,250,0.01,3,416.08015100825173,2.9890304899917943,1.9388264013008574,7.027431281146298,3,0.0558922255532242,1,0
0.99999,6,250,0.01,4,514.1189838747456,10.358911848006482,4.534345524126542,26.541735831308387,3,0.06857894844349965,1,0
0.99999,6,250,0.01,5,460.0458854312401,4.795375200186041,4.834148297969378,9.551026209731985,3,0.0468641567443675,1,0
0.99999,6,250,0.01,6,439.7244859281264,2.6323699148889763,2.685775194082598,5.21030915193434,3,0.11235391742048374,1,0
0.99999,6,250,0.01,7,427.1015436256137,1.123907576658067,1.123907576658067,2.2472244181215735,2,0.00030825901405855875,0,0
0.999999,6,250,0.01,0,1337.098627335578,12.45366682933671,8.126148217131373,29.234060567521325,3,0.09158489044902603,1,0
0.999999,6,250,0.01,1,1369.6586083536272,2.3503487677751935,2.655420996061956,4.39487632033731,3,0.1947958707181219,1,0
0.999999,6,250,0.01,2,1519.895754102381,1.333434137564485,1.333434137564485,2.6659690498049975,2,0.000754096320918071,0,0
0.999999,6,250,0.01,3,1315.8284558547946,2.9344386391041763,3.358312737376884,5.444135673240395,3,0.17641742713880446,1,0
0.999999,6,250,0.01,4,1625.624057693555,4.483721607713845,4.934889212887316,8.515624066975322,3,0.21608193041617735,1,0
