rho,ic_spread,concentration,n_features,n_samples,noise,seed,cond,mean_cv,median_cv,max_cv,n_active,coef_err,spurious,missed
0.25,0.25,0.75,9,100,0.01,2,41.03223000019623,1.2228237249690515,0.739800060328121,8.343270607975478,17,0.22570196667082063,9,0
0.25,0.25,0.75,9,100,0.01,3,97.63532104913789,1.587088851397522,0.7118594431300482,9.952898447619656,12,0.17710131903769674,4,0
0.25,0.25,0.75,9,100,0.01,4,138.37841061817238,1.452267161523917,0.5469548043719928,6.308070432676582,15,0.2212346705561818,7,0
0.25,0.25,0.75,9,100,0.01,5,73.74702039754034,1.37019182452073,0.7581084951942882,4.811251193285939,11,0.04261199489906519,3,0
0.1,0.1,0.9,9,100,0.01,0,179.26134087530892,1.2957285890631147,0.6850597419549445,4.3432036127236975,15,0.20370872537570023,7,0
0.1,0.1,0.9,9,100,0.01,1,63.731690356869564,7.7819848528111155,0.6436212213972752,89.12659295711181,14,0.024983867755638232,6,0
0.1,0.1,0.9,9,100,0.01,2,82.59753439215038,0.8302676855563798,0.7454656332546054,2.542980052873725,16,0.3162695185318501,8,0
0.1,0.1,0.9,9,100,0.01,3,258.37668093978925,1.666343879645511,0.6991683431678793,11.822811038590306,13,0.4479170811233066,5,0
0.1,0.1,0.9,9,100,0.01,4,338.2116179950377,0.9080613812865811,0.6234589558180623,4.1077645232521105,14,0.49371105640593194,6,0
0.1,0.1,0.9,9,100,0.01,5,155.65317471080652,1.4081753147754172,0.8421911293991063,4.296161698996134,12,0.1098380005599617,4,0
0.01,0.01,0.99,9,100,0.01,0,1748.7590668133546,11.808017927129386,1.312337362230596,54.309309463668605,10,1.0431696119378926,6,4
0.01,0.01,0.99,9,100,0.01,1,640.8826632186241,2.1326662414489856,0.8146797866827821,8.858748900509658,13,0.07829599054238477,5,0
0.01,0.01,0.99,9,100,0.01,2,790.6814488129407,2.871640078665061,0.7506760199784339,30.18623606484895,17,0.5479363798994531,9,0
0.01,0.01,0.99,9,100,0.01,3,2652.8716599109653,0.9234656412741499,0.7753975707973702,2.5509044494461777,12,2.199351789224888,4,0
0.01,0.01,0.99,9,100,0.01,4,3340.8448745019227,5.147916610698208,1.0981308482611056,45.89220277435081,14,2.4548447247204326,7,1
