rho,n_features,n_samples,noise,seed,cond,mean_cv,median_cv,max_cv,n_active,coef_err,spurious,missed
0.9999,6,100,0.1,3,150.43486695180516,1.2458781525809048,0.8816969179829448,2.843294349860575,3,0.10013281503095589,1,0
0.0,6,250,0.01,0,1.2034278064254713,0.02966319068157173,0.02966319068157173,0.03802393466675422,2,0.0009020419678461893,0,0
0.0,6,250,0.01,1,1.198010371525462,0.043653104797689884,0.043653104797689884,0.06755495513770315,2,0.0005358462708777691,0,0
0.0,6,250,0.01,2,1.2039872594176784,0.040494137757760194,0.040494137757760194,0.07782374220954669,2,0.00048587632665725056,0,0
0.0,6,250,0.01,3,1.234021521419961,0.016946293890752473,0.016946293890752473,0.01766630307322418,2,0.00011496329943709468,0,0
0.9,6,250,0.01,0,4.162101236685922,0.0315998970124418,0.0315998970124418,0.0532426383921399,2,0.0007906140642253638,0,0
0.9,6,250,0.01,1,4.13719232539503,0.03253348994026081,0.03253348994026081,0.03443990073272321,2,0.0003701580274338971,0,0
0.9,6,250,0.01,2,4.60824543322066,0.0351222518021856,0.0351222518021856,0.04226404568204861,2,0.00039293879501435834,0,0
0.9,6,250,0.01,3,4.071053282638711,0.033304536398745546,0.033304536398745546,0.03637535893794258,2,1.817835424396494e-05,0,0
0.99,6,250,0.01,0,13.354575579952234,0.0742660441785325,0.0742660441785325,0.14320563700841052,2,0.0008983714120835265,0,0
0.99,6,250,0.01,1,13.55685841301709,0.05624464148320933,0.05624464148320933,0.10262253915963947,2,0.0002846168888653646,0,0
0.99,6,250,0.01,2,15.096358607475425,0.04965843748661756,0.04965843748661756,0.08644241991730847,2,0.000418127581939541,0,0
0.99,6,250,0.01,3,13.109441172798935,0.0562478230399037,0.0562478230399037,0.10100157618726277,2,7.623687343623516e-05,0,0
0.999,6,250,0.01,0,42.28156024117632,0.21204908162299496,0.21204908162299496,0.4221481149962729,2,0.001093844867008544,0,0
0.999,6,250,0.01,1,43.19273244777512,1.134967613613908,0.31701599407464265,3.0851180345049216,3,0.004351423757238188,1,0
0.999,6,250,0.01,2,47.99261050247944,0.129650408001435,0.129650408001435,0.2553503981937823,2,0.00039266092250127884,0,0
0.999,6,250,0.01,3,41.57475392970251,1.5482095420690858,0.29775299631160806,4.343153766911589,3,0.005726746065191947,1,0
0.9999,6,250,0.01,0,133.71308542942998,4.347621617318176,1.256938429479511,11.784963342406208,3,0.009528995142695776,1,0
0.9999,6,250,0.01,1,136.85971309040997,78.84627679713577,0.8472106950732564,235.69069380526204,3,0.019267191562136153,1,0
0.9999,6,250,0.01,2,151.93262243862094,0.3521240665106444,0.3521240665106444,0.7028351209977753,2,0.0005415399540964778,0,0
0.9999,6,250,0.01,3,131.55359875384627,18.297528049019718,0.8310632293645275,54.06038167990583,3,0.01777891457469498,1,0
0.0,6,250,0.1,0,1.2034278064254713,0.5428050209594485,0.03982395112527501,1.5690661586002634,3,0.011149015020104857,1,0
0.0,6,250,0.1,1,1.198010371525462,0.5500363084487098,0.06504882654422076,1.564447704714867,3,0.006272466827245558,1,0
0.0,6,250,0.1,2,1.2039872594176784,0.040605098057043564,0.040605098057043564,0.07695368942402357,2,0.004425214361452738,0,0
0.0,6,250,0.1,3,1.234021521419961,0.6777154208194636,0.48786663122738066,1.7159399707496255,4,0.007612967392641416,2,0
0.9,6,250,0.1,0,4.162101236685922,0.7538852184220728,0.5352455676215877,1.9331086283760999,4,0.014743200730883317,2,0
0.9,6,250,0.1,1,4.13719232539503,0.6598642091350199,0.3921720979432504,1.8255713759041263,4,0.00507873152226462,2,0
0.9,6,250,0.1,2,4.60824543322066,0.034376356981660444,0.034376356981660444,0.04123545824223499,2,0.0036331413901367522,0,0
